mockito-core-4.1.1-SNAPSHOT.jar -> java.base
mockito-core-4.1.1-SNAPSHOT.jar -> java.instrument
   org.mockito.BDDMockito$BDDOngoingStubbingImpl      -> org.mockito.stubbing.OngoingStubbing               mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$BDDStubber                  -> java.lang.Class                                    java.base
   org.mockito.BDDMockito$BDDStubber                  -> java.lang.Object                                   java.base
   org.mockito.BDDMockito$BDDStubber                  -> java.lang.Throwable                                java.base
   org.mockito.BDDMockito$BDDStubber                  -> org.mockito.BDDMockito                             mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$BDDStubber                  -> org.mockito.stubbing.Answer                        mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$BDDStubberImpl              -> java.lang.Class                                    java.base
   org.mockito.BDDMockito$BDDStubberImpl              -> java.lang.Object                                   java.base
   org.mockito.BDDMockito$BDDStubberImpl              -> java.lang.Throwable                                java.base
   org.mockito.BDDMockito$BDDStubberImpl              -> org.mockito.BDDMockito                             mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$BDDStubberImpl              -> org.mockito.BDDMockito$BDDStubber                  mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$BDDStubberImpl              -> org.mockito.stubbing.Answer                        mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$BDDStubberImpl              -> org.mockito.stubbing.Stubber                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$Then                        -> java.lang.Object                                   java.base
   org.mockito.BDDMockito$Then                        -> org.mockito.BDDMockito                             mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$Then                        -> org.mockito.InOrder                                mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$Then                        -> org.mockito.verification.VerificationMode          mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$ThenImpl                    -> java.lang.Object                                   java.base
   org.mockito.BDDMockito$ThenImpl                    -> org.mockito.BDDMockito                             mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$ThenImpl                    -> org.mockito.BDDMockito$Then                        mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$ThenImpl                    -> org.mockito.InOrder                                mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$ThenImpl                    -> org.mockito.Mockito                                mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.BDDMockito$ThenImpl                    -> org.mockito.verification.VerificationMode          mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Captor                                 -> java.lang.Object                                   java.base
   org.mockito.Captor                                 -> java.lang.annotation.Annotation                    java.base
   org.mockito.Captor                                 -> java.lang.annotation.Documented                    java.base
   org.mockito.Captor                                 -> java.lang.annotation.Retention                     java.base
   org.mockito.Captor                                 -> java.lang.annotation.Target                        java.base
   org.mockito.CheckReturnValue                       -> java.lang.Object                                   java.base
   org.mockito.CheckReturnValue                       -> java.lang.annotation.Annotation                    java.base
   org.mockito.CheckReturnValue                       -> java.lang.annotation.Retention                     java.base
   org.mockito.CheckReturnValue                       -> java.lang.annotation.Target                        java.base
   org.mockito.DoNotMock                              -> java.lang.Object                                   java.base
   org.mockito.DoNotMock                              -> java.lang.String                                   java.base
   org.mockito.DoNotMock                              -> java.lang.annotation.Annotation                    java.base
   org.mockito.DoNotMock                              -> java.lang.annotation.Documented                    java.base
   org.mockito.DoNotMock                              -> java.lang.annotation.Retention                     java.base
   org.mockito.DoNotMock                              -> java.lang.annotation.Target                        java.base
   org.mockito.InOrder                                -> java.lang.Object                                   java.base
   org.mockito.InOrder                                -> org.mockito.verification.VerificationMode          mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Incubating                             -> java.lang.Object                                   java.base
   org.mockito.Incubating                             -> java.lang.annotation.Annotation                    java.base
   org.mockito.Incubating                             -> java.lang.annotation.Documented                    java.base
   org.mockito.Incubating                             -> java.lang.annotation.Retention                     java.base
   org.mockito.InjectMocks                            -> java.lang.Object                                   java.base
   org.mockito.InjectMocks                            -> java.lang.annotation.Annotation                    java.base
   org.mockito.InjectMocks                            -> java.lang.annotation.Documented                    java.base
   org.mockito.InjectMocks                            -> java.lang.annotation.Retention                     java.base
   org.mockito.InjectMocks                            -> java.lang.annotation.Target                        java.base
   org.mockito.Mock                                   -> java.lang.Class                                    java.base
   org.mockito.Mock                                   -> java.lang.Object                                   java.base
   org.mockito.Mock                                   -> java.lang.String                                   java.base
   org.mockito.Mock                                   -> java.lang.annotation.Annotation                    java.base
   org.mockito.Mock                                   -> java.lang.annotation.Documented                    java.base
   org.mockito.Mock                                   -> java.lang.annotation.Retention                     java.base
   org.mockito.Mock                                   -> java.lang.annotation.Target                        java.base
   org.mockito.Mock                                   -> org.mockito.Answers                                mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockSettings                           -> java.io.Serializable                               java.base
   org.mockito.MockSettings                           -> java.lang.Class                                    java.base
   org.mockito.MockSettings                           -> java.lang.Object                                   java.base
   org.mockito.MockSettings                           -> java.lang.String                                   java.base
   org.mockito.MockSettings                           -> org.mockito.NotExtensible                          mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockSettings                           -> org.mockito.listeners.InvocationListener           mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockSettings                           -> org.mockito.listeners.StubbingLookupListener       mockito-core-4.1.1-SNAPSHOT.jar
